Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
12350000000.000000	58.900	56.275
12400000000.000000	84.706	56.592
12450000000.000000	55.635	57.815
12500000000.000000	64.683	57.421
12550000000.000000	59.369	56.951
12600000000.000000	57.570	56.970
12650000000.000000	56.856	57.811
12700000000.000000	57.598	57.945
12750000000.000000	60.320	56.459
12800000000.000000	65.685	56.373
12850000000.000000	62.054	57.250
12900000000.000000	40.997	56.939
12950000000.000000	55.342	57.389
13000000000.000000	68.491	56.442
13050000000.000000	65.901	58.039
13100000000.000000	65.422	58.545
13150000000.000000	54.026	57.601
13200000000.000000	41.711	57.516
13250000000.000000	62.043	57.707
13300000000.000000	62.288	57.861
13350000000.000000	52.554	58.270
13400000000.000000	53.551	57.880
13450000000.000000	50.653	57.713
13500000000.000000	64.246	56.814
13550000000.000000	61.712	57.732
13600000000.000000	65.411	57.443
13650000000.000000	60.775	56.526
13700000000.000000	58.912	57.935
13750000000.000000	64.838	57.329
13800000000.000000	76.057	56.960
13850000000.000000	55.610	57.033
13900000000.000000	62.154	56.361
13950000000.000000	62.406	58.379
14000000000.000000	29.860	58.439
14050000000.000000	55.769	57.322
14100000000.000000	51.041	56.067
14150000000.000000	64.244	55.672
14200000000.000000	53.136	57.984
14250000000.000000	60.483	57.116
14300000000.000000	65.861	56.125
14350000000.000000	65.917	55.821
14400000000.000000	62.890	57.871
14450000000.000000	55.506	57.580
14500000000.000000	55.272	56.318
14550000000.000000	53.759	55.163
14600000000.000000	66.921	55.590
14650000000.000000	55.804	57.330
14700000000.000000	54.826	58.143
14750000000.000000	49.745	55.391
14800000000.000000	56.771	56.266
14850000000.000000	65.871	56.232
14900000000.000000	48.315	56.283
14950000000.000000	65.207	55.954
15000000000.000000	56.613	54.680
15050000000.000000	83.635	54.404
15100000000.000000	51.610	56.445
15150000000.000000	69.396	55.211
15200000000.000000	56.728	56.462
15250000000.000000	62.229	55.318
15300000000.000000	60.465	55.648
15350000000.000000	65.267	56.945
15400000000.000000	67.776	55.815
15450000000.000000	59.739	53.931
15500000000.000000	52.181	55.278
15550000000.000000	49.048	55.986
15600000000.000000	68.329	57.758
15650000000.000000	56.362	54.399
15700000000.000000	54.455	55.958
15750000000.000000	56.223	56.619
15800000000.000000	54.738	57.037
15850000000.000000	61.379	52.980
15900000000.000000	58.830	53.940
15950000000.000000	62.541	55.343
16000000000.000000	63.894	57.143
16050000000.000000	80.522	58.168
16100000000.000000	77.355	55.856
16150000000.000000	56.523	55.653
16200000000.000000	64.128	57.007
16250000000.000000	66.644	56.975
16300000000.000000	48.543	57.655
16350000000.000000	55.472	55.336
16400000000.000000	53.077	55.797
16450000000.000000	66.885	57.552
16500000000.000000	51.164	57.909
16550000000.000000	62.583	57.190
16600000000.000000	67.483	56.940
16650000000.000000	35.565	58.488
16700000000.000000	65.289	57.504
16750000000.000000	36.528	57.225
16800000000.000000	66.509	56.980
16850000000.000000	63.542	56.892
16900000000.000000	58.214	57.468
16950000000.000000	63.327	58.115
17000000000.000000	56.742	58.893
17050000000.000000	62.909	58.164
17100000000.000000	69.871	58.296
17150000000.000000	62.883	57.767
17200000000.000000	69.250	56.421
17250000000.000000	61.767	57.131
17300000000.000000	63.800	58.061
17350000000.000000	69.067	56.587
17400000000.000000	61.499	56.683
17450000000.000000	52.910	57.246
17500000000.000000	64.282	57.037
17550000000.000000	64.984	56.901
17600000000.000000	64.593	54.171
17650000000.000000	61.051	55.515
17700000000.000000	51.349	56.699
17750000000.000000	59.149	56.675
17800000000.000000	57.153	54.974
17850000000.000000	64.349	55.715
17900000000.000000	59.451	55.600
17950000000.000000	68.091	55.697
18000000000.000000	56.893	55.670
18050000000.000000	54.563	54.459
18100000000.000000	47.603	55.133
18150000000.000000	60.824	55.255
18200000000.000000	58.389	56.139
18250000000.000000	48.845	55.111
18300000000.000000	63.250	54.502
18350000000.000000	64.673	55.545
18400000000.000000	66.782	54.796
18450000000.000000	57.554	53.768
18500000000.000000	54.816	53.435
18550000000.000000	72.007	52.388
18600000000.000000	56.048	54.781
18650000000.000000	64.776	53.807
18700000000.000000	55.057	52.957
18750000000.000000	64.087	53.400
18800000000.000000	56.856	55.178
18850000000.000000	48.726	54.115
18900000000.000000	57.726	53.682
18950000000.000000	55.319	52.181
19000000000.000000	58.442	52.677
19050000000.000000	64.517	52.228
19100000000.000000	61.333	51.199
19150000000.000000	60.204	53.352
19200000000.000000	57.601	52.694
19250000000.000000	55.370	52.806
19300000000.000000	60.388	51.960
19350000000.000000	40.528	52.316
19400000000.000000	64.401	52.507
19450000000.000000	57.927	53.365
19500000000.000000	48.969	52.892
19550000000.000000	62.150	53.559
19600000000.000000	58.461	51.605
19650000000.000000	71.678	51.677
19700000000.000000	52.896	53.444
19750000000.000000	54.328	51.704
19800000000.000000	50.107	51.079
19850000000.000000	49.447	51.052
19900000000.000000	52.037	52.794
19950000000.000000	53.872	52.462
20000000000.000000	55.454	50.716
