Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	39.762	0.545927	13.600	16.349	6.306
250000000	37.992	3.326770	17.907	20.342	6.386
300000000	45.534	9.080066	20.618	22.859	6.272
350000000	47.638	16.423636	25.833	28.287	7.256
400000000	43.309	16.294182	26.138	28.272	6.061
450000000	43.547	17.886648	27.494	29.930	7.050
500000000	43.028	20.760423	29.113	30.248	5.100
550000000	40.646	28.899162	32.875	35.292	7.603
600000000	31.946	27.371291	29.826	31.465	6.386
650000000	34.594	29.931220	32.341	33.454	6.257
700000000	35.056	34.922271	34.966	34.556	8.307
750000000	44.422	27.512414	30.883	32.047	7.442
800000000	42.935	26.465000	31.436	32.594	6.125
850000000	37.771	28.607402	32.268	33.525	8.007
900000000	37.721	35.260312	35.795	36.669	6.760
950000000	40.109	35.596494	37.061	37.668	7.839
1000000000	33.657	35.720023	35.046	35.790	7.354
1050000000	34.821	38.844192	36.940	36.626	6.830
1100000000	39.016	36.458312	37.776	38.988	6.998
1150000000	38.463	38.571732	38.515	38.386	7.451
1200000000	38.488	39.976757	39.271	39.235	7.178
1250000000	34.828	37.355157	36.165	36.101	7.448
1300000000	24.411	33.515384	28.992	27.659	5.845
1350000000	36.954	39.595068	37.855	37.270	6.185
1400000000	32.774	38.839780	35.804	35.956	6.896
1450000000	31.201	31.314773	31.276	31.048	6.725
1500000000	34.562	38.897815	36.757	35.652	7.897
1550000000	31.782	41.711366	36.177	34.826	6.144
1600000000	35.116	42.122829	38.181	37.187	6.924
1650000000	34.592	37.029137	35.731	35.324	7.193
1700000000	35.302	40.883842	37.648	36.675	6.682
1750000000	30.739	37.949535	34.330	33.612	6.713
1800000000	33.052	35.664311	35.116	34.775	6.905
1850000000	38.108	41.952639	40.426	40.821	7.787
1900000000	29.697	40.180927	34.116	33.072	4.980
1950000000	30.884	37.717189	34.947	33.650	8.190
2000000000	39.791	34.010685	35.178	35.748	6.507
2050000000	31.100	33.019435	32.647	33.001	8.589
2100000000	34.194	39.293776	37.632	36.575	7.554
2150000000	33.514	40.231930	38.082	37.987	6.903
2200000000	37.998	35.546433	36.168	35.345	8.112
2250000000	31.440	35.861108	34.746	34.321	8.974
2300000000	37.780	39.522294	38.893	38.828	7.688
2350000000	33.991	38.692151	37.487	37.631	7.350
2400000000	28.037	41.806278	35.804	34.119	6.404
2450000000	37.714	40.575410	39.501	39.648	8.692
2500000000	38.259	40.272805	39.840	39.299	7.415
2550000000	35.953	40.910100	38.477	37.631	6.397
2600000000	37.937	37.095952	37.438	37.633	7.656
2650000000	38.073	34.550811	36.093	36.557	7.590
2700000000	27.872	37.896072	33.286	32.318	6.802
2750000000	32.159	39.941824	37.066	36.349	7.009
2800000000	32.052	37.510178	35.490	34.917	7.055
2850000000	29.599	35.535647	32.977	32.508	8.432
2900000000	22.916	33.497891	27.448	25.684	6.038
2950000000	24.491	36.884123	29.756	28.000	6.525
3000000000	17.255	37.746458	31.009	29.273	6.667
3050000000	21.951	35.525931	30.467	29.792	5.784
3100000000	25.698	33.999761	30.962	29.965	7.323
3150000000	22.560	30.766680	28.808	28.475	7.191
3200000000	22.732	29.917208	28.404	28.772	8.702
3250000000	32.123	30.286632	30.718	30.969	8.033
3300000000	16.367	29.698131	27.004	26.392	8.264
3350000000	20.046	30.041000	24.780	23.640	5.986
3400000000	18.757	24.598904	23.284	23.444	7.463
3450000000	17.451	22.250634	21.632	21.182	8.183
3500000000	14.761	24.088484	21.894	21.541	6.687
3550000000	14.551	21.388408	19.483	19.232	8.456
3600000000	9.062	18.579133	15.117	14.412	6.731
3650000000	18.160	21.656584	20.649	19.979	7.782
3700000000	16.543	21.006585	20.284	20.184	8.122
3750000000	19.580	20.939591	20.754	20.494	8.177
3800000000	9.287	18.901248	16.241	14.650	7.227
3850000000	8.167	21.914082	19.782	19.297	8.403
3900000000	16.679	22.405493	20.781	21.227	7.751
3950000000	11.820	20.439021	17.908	17.350	7.108
4000000000	24.132	19.355330	20.676	21.221	6.539
4050000000	12.754	18.811404	17.509	17.514	7.396
4100000000	-4.157	16.198202	13.788	14.221	7.063
4150000000	7.808	16.153445	12.380	11.897	6.842
4200000000	1.627	16.955911	12.947	11.551	8.631
4250000000	8.756	15.858012	13.939	12.824	8.175
4300000000	8.627	15.121858	14.359	13.855	8.347
4350000000	13.817	13.235423	13.280	12.462	7.893
4400000000	14.664	12.532381	12.758	12.743	8.238
4450000000	-11.944	10.472776	4.890	3.541	7.412
4500000000	-18.901	7.924714	-0.005	-2.629	6.627
4550000000	-13.200	10.122407	2.079	0.827	5.421
4600000000	-5.636	11.927874	4.929	3.514	6.319
4650000000	1.625	14.047479	8.626	6.430	7.049
4700000000	3.827	14.592444	10.495	9.463	7.401
4750000000	-4.340	12.908524	6.421	4.759	7.388
4800000000	-4.264	12.692421	4.814	2.887	6.025
4850000000	-14.441	13.135092	5.288	4.012	5.944
