Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	44.532	3.307005	23.045	25.177	4.980
250000000	48.718	3.328439	26.646	29.104	5.685
300000000	46.762	6.630004	28.856	31.586	6.630
350000000	45.413	16.505694	33.778	36.651	6.011
400000000	42.188	14.456229	33.852	35.582	4.897
450000000	46.318	14.049633	36.098	38.599	5.924
500000000	42.745	16.012846	36.807	39.779	5.913
550000000	43.487	25.245167	39.118	41.444	5.620
600000000	47.980	23.759027	39.905	42.682	6.353
650000000	43.449	31.693669	40.693	42.276	5.184
700000000	53.204	30.123839	41.085	43.429	5.875
750000000	49.416	21.526653	36.341	38.526	5.418
800000000	44.549	26.428523	38.045	40.442	5.439
850000000	33.113	26.842931	32.154	33.168	4.570
900000000	37.902	31.546580	36.576	37.715	4.948
950000000	37.480	32.657085	36.646	37.400	4.060
1000000000	51.875	34.963952	43.121	44.811	6.516
1050000000	47.057	36.718363	43.011	44.561	5.659
1100000000	44.178	35.924814	42.059	43.389	5.550
1150000000	46.151	38.767998	43.945	44.872	5.429
1200000000	44.821	39.176412	43.267	44.902	5.943
1250000000	43.694	37.269026	42.272	43.739	5.671
1300000000	34.186	29.854433	33.235	34.220	4.956
1350000000	45.499	37.627838	43.655	44.660	4.940
1400000000	46.485	39.111650	44.670	45.970	4.800
1450000000	39.943	35.038675	39.101	39.792	4.275
1500000000	42.231	37.303167	41.087	41.610	4.136
1550000000	46.541	40.524062	44.363	45.342	6.782
1600000000	43.437	40.151012	42.555	43.229	5.034
1650000000	48.084	36.299857	42.612	44.582	5.880
1700000000	42.923	34.776175	40.252	42.163	6.671
1750000000	37.158	33.751408	36.390	36.472	4.594
1800000000	40.572	35.061410	39.086	40.183	5.329
1850000000	39.021	36.250376	38.427	39.165	5.058
1900000000	44.104	36.424056	41.446	42.733	5.996
1950000000	38.371	36.495060	37.944	38.381	6.260
2000000000	37.060	35.350194	36.780	37.334	4.311
2050000000	34.686	32.940184	34.347	34.541	4.199
2100000000	35.373	31.252181	34.488	35.345	4.909
2150000000	35.323	31.719389	34.520	34.993	4.490
2200000000	33.924	27.175495	32.103	33.387	5.615
2250000000	34.152	29.022330	32.688	33.829	6.419
2300000000	31.301	31.660987	31.370	31.126	5.269
2350000000	33.123	28.136586	32.183	33.009	4.750
2400000000	31.218	30.955244	31.183	31.308	3.263
2450000000	30.691	30.946445	30.719	30.716	3.260
2500000000	30.451	28.289399	30.201	30.501	3.086
2550000000	27.664	29.677549	27.907	27.879	3.533
2600000000	27.439	27.473344	27.444	27.249	4.266
2650000000	26.295	24.893440	26.127	26.374	3.322
2700000000	28.235	27.723809	28.172	28.318	3.391
2750000000	28.680	28.403072	28.649	28.816	2.938
2800000000	26.325	25.994124	26.287	26.333	3.478
2850000000	23.245	25.767658	23.467	23.183	2.731
2900000000	17.452	23.531898	17.950	17.418	2.976
2950000000	20.044	24.034012	20.383	20.208	2.471
3000000000	18.515	21.288840	18.805	18.451	3.144
3050000000	17.924	20.372769	18.119	17.809	2.852
3100000000	18.535	19.584836	18.629	18.590	3.013
3150000000	16.339	16.850393	16.383	16.443	2.878
3200000000	21.623	12.606873	19.258	20.873	5.207
3250000000	12.402	12.386293	12.400	12.388	3.547
3300000000	8.093	9.581653	8.248	8.123	3.021
3350000000	6.938	5.905747	6.819	7.039	3.436
3400000000	8.286	6.854009	8.068	8.006	4.087
3450000000	14.467	6.688116	12.578	13.600	4.552
3500000000	19.525	11.615263	17.487	18.891	4.954
3550000000	16.698	12.242909	15.840	16.556	4.283
3600000000	19.508	10.683339	16.796	18.230	4.908
3650000000	17.930	13.809736	17.234	17.894	4.402
3700000000	18.520	15.199647	18.016	18.363	3.801
3750000000	24.612	17.594903	23.229	24.600	5.684
3800000000	21.725	17.916869	21.030	21.757	4.075
3850000000	20.940	21.556315	21.040	20.824	3.616
3900000000	22.579	20.545930	22.286	22.967	4.787
3950000000	22.801	20.568961	22.574	22.754	3.083
4000000000	23.982	22.867520	23.849	23.900	3.163
4050000000	24.475	23.897442	24.388	24.752	4.843
4100000000	26.536	23.206543	25.877	26.356	4.673
4150000000	26.350	23.527277	25.963	26.196	3.262
4200000000	24.320	25.210115	24.409	24.261	2.879
4250000000	23.028	26.457361	23.376	23.105	3.110
4300000000	23.320	27.103589	23.704	23.387	2.695
4350000000	23.460	25.954145	23.643	23.432	2.653
4400000000	21.975	26.582711	22.372	21.912	2.893
4450000000	21.591	26.802894	22.088	21.577	3.210
4500000000	19.979	27.880346	20.666	19.680	4.390
4550000000	20.141	27.433892	20.601	20.247	2.204
4600000000	21.145	28.691711	21.573	21.097	2.506
4650000000	22.852	29.234446	23.274	22.819	2.518
4700000000	21.703	28.069995	22.151	21.671	2.800
4750000000	19.477	28.379541	20.098	19.581	2.561
4800000000	19.872	28.597466	20.399	19.843	2.832
4850000000	20.294	27.038489	20.720	20.331	2.474
4900000000	19.623	27.918263	20.454	19.519	3.719
4950000000	17.947	24.224944	18.430	17.938	2.896
5000000000	18.201	24.896199	18.645	18.193	2.525
5050000000	17.402	24.258844	17.855	17.365	2.542
5100000000	16.034	23.820474	16.838	16.291	3.058
5150000000	14.589	23.075590	15.798	14.562	4.109
5200000000	16.093	18.971094	16.359	16.107	2.699
5250000000	17.242	16.851975	17.199	17.192	3.164
5300000000	13.974	12.353948	13.666	14.022	4.274
5350000000	12.984	8.674467	12.120	12.924	4.457
5400000000	5.002	3.502724	4.777	4.870	3.926
5450000000	12.234	5.318591	10.549	11.941	5.747
5500000000	6.960	5.654536	6.746	6.796	4.508
5550000000	5.467	7.568370	5.758	5.461	3.616
