Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	47.046	4.295849	24.043	26.516	5.851
250000000	41.368	3.142761	26.348	28.889	5.590
300000000	49.888	8.623361	30.865	33.225	5.168
350000000	53.565	15.929713	33.463	36.889	7.151
400000000	45.938	14.673617	34.435	36.499	4.839
450000000	47.728	14.752359	36.863	39.636	5.573
500000000	50.084	16.918217	38.658	40.924	5.020
550000000	52.982	24.502842	40.065	42.202	5.346
600000000	48.421	23.967235	40.148	42.467	5.747
650000000	48.903	31.440869	42.399	44.187	5.373
700000000	52.761	32.103974	42.885	44.341	4.711
750000000	49.706	22.283515	37.074	39.096	5.211
800000000	48.882	26.532918	38.762	41.240	5.856
850000000	44.873	28.322961	38.464	40.590	5.450
900000000	50.272	33.090433	42.136	44.116	5.934
950000000	47.088	35.061747	43.016	45.288	6.168
1000000000	54.066	37.494714	45.611	47.587	6.752
1050000000	52.587	39.278365	46.352	48.247	5.995
1100000000	49.705	37.190341	45.139	47.089	6.001
1150000000	51.916	41.201503	47.772	48.979	5.774
1200000000	49.375	42.562843	47.299	48.199	4.452
1250000000	46.035	41.010759	45.069	45.676	4.701
1300000000	42.140	36.048915	40.561	42.073	5.461
1350000000	61.645	40.001818	49.613	50.925	5.095
1400000000	61.188	40.578841	49.646	52.119	6.429
1450000000	49.897	33.612884	42.703	44.442	5.362
1500000000	53.191	40.813837	47.973	49.954	5.651
1550000000	48.386	44.705811	47.280	47.998	6.235
1600000000	47.744	44.044580	46.714	47.569	5.558
1650000000	49.971	43.885263	48.071	49.705	5.624
1700000000	53.172	44.335643	50.114	51.654	5.226
1750000000	47.247	40.834735	45.348	46.378	6.219
1800000000	50.803	38.032007	44.937	47.267	6.505
1850000000	56.933	42.611262	49.711	52.024	7.264
1900000000	47.133	42.403102	45.854	46.872	5.454
1950000000	45.822	44.208849	45.464	45.771	5.801
2000000000	43.325	40.715759	42.859	43.409	3.936
2050000000	39.279	38.684396	39.176	39.221	4.245
2100000000	46.601	40.702584	45.100	46.586	6.538
2150000000	47.337	40.653158	45.364	46.879	6.235
2200000000	45.916	37.193949	43.127	44.392	5.754
2250000000	49.105	37.996069	44.171	45.655	6.543
2300000000	46.250	42.322360	45.139	45.889	6.308
2350000000	50.247	39.227393	46.614	48.710	6.038
2400000000	45.839	41.245284	44.904	45.545	4.480
2450000000	43.972	41.074046	43.538	44.000	4.179
2500000000	45.447	40.222685	44.606	45.280	3.779
2550000000	44.267	40.145521	43.360	44.182	4.676
2600000000	50.190	37.124212	44.721	45.492	5.279
2650000000	42.124	34.322704	40.303	41.645	5.133
2700000000	43.955	39.278952	43.075	43.808	3.911
2750000000	45.427	40.150308	44.425	45.419	4.431
2800000000	43.006	35.960759	41.396	42.631	5.323
2850000000	39.470	34.381274	38.494	39.016	4.065
2900000000	35.833	33.450115	35.398	35.608	4.468
2950000000	41.932	38.571132	41.340	42.012	4.372
3000000000	37.601	37.939631	37.645	37.475	3.566
3050000000	38.844	34.858130	38.226	38.626	3.694
3100000000	40.615	33.388746	39.082	40.294	5.054
3150000000	40.366	31.767225	38.386	39.606	4.258
3200000000	38.767	29.886417	36.466	38.028	5.281
3250000000	37.618	31.876669	36.311	37.109	5.496
3300000000	36.964	30.377567	35.416	36.351	4.847
3350000000	34.774	28.735177	33.592	34.941	5.682
3400000000	33.367	26.484410	31.571	32.775	6.043
3450000000	34.210	23.147333	30.623	32.096	5.785
3500000000	39.235	24.294719	32.711	34.790	6.472
3550000000	34.097	23.116095	30.282	31.839	5.413
3600000000	33.376	18.691578	26.641	28.126	5.918
3650000000	33.138	21.501230	29.174	31.040	6.297
3700000000	34.215	20.856020	29.143	30.975	5.167
3750000000	34.982	22.239350	30.739	33.612	7.325
3800000000	29.964	19.236676	26.274	28.442	6.349
3850000000	32.424	22.231974	28.230	29.684	6.374
3900000000	31.945	20.491519	27.936	29.200	5.355
3950000000	33.298	18.225433	27.877	30.027	5.784
4000000000	32.659	18.820706	27.261	29.126	6.168
4050000000	29.175	19.553651	25.809	27.416	5.422
4100000000	25.988	16.957768	22.989	24.548	5.767
4150000000	30.250	16.114160	24.763	26.742	6.035
4200000000	30.629	16.801786	25.170	26.967	6.037
4250000000	32.717	16.060196	24.034	25.976	6.421
4300000000	32.211	15.519009	23.375	25.516	6.393
4350000000	44.359	14.346978	24.557	26.055	5.077
4400000000	27.766	14.443900	22.041	23.505	6.039
4450000000	22.335	12.179797	18.447	20.069	5.573
4500000000	13.659	9.156514	12.461	13.206	7.379
4550000000	13.325	10.615875	12.884	13.384	3.721
4600000000	14.615	10.887444	13.990	14.584	4.611
4650000000	14.146	14.179517	14.150	14.089	3.277
4700000000	14.024	13.468941	13.949	13.970	3.934
4750000000	13.668	11.751640	13.315	13.631	3.855
4800000000	12.784	12.620628	12.762	12.665	3.526
