Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	26.062	0.369059	13.213	15.133	5.530
250000000	42.176	3.053790	17.660	19.915	5.439
300000000	40.354	8.482831	19.996	22.030	5.348
350000000	40.861	16.334940	25.652	27.184	5.853
400000000	43.478	17.525626	27.349	29.264	6.179
450000000	40.429	17.862761	27.371	29.173	6.549
500000000	52.268	20.749421	29.237	31.180	6.953
550000000	45.856	28.563039	32.889	34.869	8.044
600000000	45.767	29.454855	33.984	35.766	7.280
650000000	41.832	30.498309	34.471	36.011	7.120
700000000	44.888	34.573041	36.115	35.987	7.065
750000000	41.529	27.121133	30.410	30.690	6.546
800000000	38.696	26.363472	31.006	31.999	6.490
850000000	40.780	30.776409	34.579	35.926	7.959
900000000	40.675	35.465787	36.365	37.314	6.553
950000000	40.238	34.736588	36.399	37.063	8.374
1000000000	37.893	35.067083	35.683	36.621	7.560
1050000000	42.810	37.992076	39.194	38.884	6.332
1100000000	44.194	36.991166	39.799	40.883	6.695
1150000000	42.632	36.575962	38.733	38.766	8.284
1200000000	37.120	39.137554	38.150	37.888	6.837
1250000000	36.989	39.393986	38.269	37.642	6.671
1300000000	32.436	41.094073	36.895	36.008	6.904
1350000000	40.255	39.209719	39.795	39.545	6.047
1400000000	35.479	40.473166	38.123	38.057	6.209
1450000000	35.855	39.817489	38.046	37.690	6.854
1500000000	39.363	40.767397	40.191	39.106	7.007
1550000000	37.972	41.235607	40.009	39.664	8.165
1600000000	39.007	40.884990	40.097	39.785	7.148
1650000000	41.553	40.537344	40.978	41.644	7.682
1700000000	38.370	40.376805	39.413	39.586	7.946
1750000000	35.508	41.149132	38.563	38.096	6.634
1800000000	31.512	41.760261	37.669	37.297	7.507
1850000000	33.525	40.911224	37.247	36.439	6.506
1900000000	32.773	38.980621	36.083	36.144	6.365
1950000000	29.036	39.301306	34.185	32.464	6.988
2000000000	28.599	38.253776	32.645	32.109	5.335
2050000000	23.545	39.248407	30.901	29.039	6.118
2100000000	24.549	39.116775	30.818	28.446	6.366
2150000000	24.602	40.324920	31.692	30.095	5.474
2200000000	26.318	39.638104	30.986	28.852	7.257
2250000000	24.206	40.768406	31.557	29.127	6.653
2300000000	28.218	40.267279	32.669	30.845	6.122
2350000000	24.531	40.218177	31.829	30.194	5.065
2400000000	23.125	40.789580	31.492	29.330	6.080
2450000000	28.635	39.828108	33.143	31.952	5.737
2500000000	26.965	39.930159	33.560	31.401	7.089
2550000000	30.789	39.687670	34.396	32.789	6.409
2600000000	33.915	40.068376	36.371	35.216	6.848
2650000000	34.399	39.934405	36.156	34.890	5.615
2700000000	30.607	39.635404	35.725	34.942	7.474
2750000000	32.907	40.365412	37.675	36.916	7.646
2800000000	30.565	38.680594	35.082	34.473	7.221
2850000000	32.555	39.221709	36.213	35.204	7.686
2900000000	32.758	38.605024	35.993	35.428	6.292
2950000000	30.979	37.986668	34.925	34.103	7.379
3000000000	24.038	37.879462	35.381	34.919	8.192
3050000000	27.533	38.117921	34.984	35.052	7.533
3100000000	31.966	38.525583	36.431	36.371	7.889
3150000000	26.620	37.744723	34.295	33.725	7.126
3200000000	25.079	36.777643	33.051	32.204	7.840
3250000000	28.077	37.406923	32.530	31.377	5.861
3300000000	20.557	37.771914	32.771	31.548	6.175
3350000000	30.056	37.682658	34.148	33.822	7.555
3400000000	27.553	37.808282	34.391	34.423	6.520
3450000000	21.144	36.955719	31.144	29.651	5.837
3500000000	21.992	37.738458	31.530	30.221	6.270
3550000000	26.064	36.685199	32.677	32.180	8.861
3600000000	26.614	37.829382	33.242	32.486	6.626
3650000000	26.593	36.959385	32.066	30.656	7.140
3700000000	22.310	36.679469	31.048	29.640	7.183
3750000000	25.546	37.539522	33.122	31.779	7.780
3800000000	25.433	37.565825	33.431	31.877	8.531
3850000000	19.466	38.189345	33.342	32.740	8.474
3900000000	25.210	36.921561	31.749	30.785	6.004
3950000000	23.272	35.881002	30.867	29.992	8.052
4000000000	29.118	35.567001	31.871	30.859	5.232
4050000000	24.989	36.051511	32.327	31.788	7.384
4100000000	9.658	35.309474	29.834	29.455	7.023
4150000000	25.163	36.962786	30.573	29.072	5.537
4200000000	19.550	36.047499	31.277	29.530	7.618
4250000000	26.726	34.561679	32.301	31.295	9.000
4300000000	19.065	34.600431	29.932	28.577	8.479
4350000000	19.914	33.759538	29.143	27.513	7.352
4400000000	21.179	35.421332	29.051	27.858	6.420
4450000000	12.351	35.483343	29.369	27.780	6.491
4500000000	8.500	36.012842	27.498	25.013	7.124
4550000000	12.641	33.820407	27.515	26.677	5.590
4600000000	16.790	34.200398	27.326	25.903	6.338
4650000000	23.770	36.384116	30.817	28.571	6.813
4700000000	21.192	34.818309	28.621	26.877	6.309
4750000000	15.698	33.897128	26.641	24.465	7.393
4800000000	17.782	33.843175	26.718	24.573	6.211
4850000000	8.919	35.113597	28.391	27.123	6.142
4900000000	10.641	34.946330	28.264	26.954	7.209
4950000000	9.863	33.577922	25.552	22.978	7.422
5000000000	3.346	33.609714	25.897	24.119	6.631
5050000000	15.851	33.160085	25.922	25.043	6.182
5100000000	18.184	34.094145	28.397	26.487	6.287
5150000000	16.287	33.683995	26.521	25.361	5.365
5200000000	15.845	32.657557	24.653	23.045	5.359
5250000000	21.682	31.909600	26.029	24.996	6.309
5300000000	20.222	32.568236	26.268	25.019	5.889
5350000000	7.644	31.526411	23.385	21.798	5.443
5400000000	5.768	29.265607	22.167	20.207	7.356
5450000000	12.479	30.684773	23.734	21.663	7.695
5500000000	15.581	29.928238	23.404	20.872	7.781
5550000000	14.841	29.156009	23.520	21.713	6.969
5600000000	16.931	28.922429	22.607	21.700	4.763
5650000000	16.827	28.098643	21.109	19.541	5.960
5700000000	13.273	27.692825	19.525	17.947	5.875
5750000000	14.240	27.620514	20.054	17.995	6.800
5800000000	10.950	27.229980	18.337	16.824	5.820
5850000000	10.031	26.472184	18.335	16.834	5.679
5900000000	10.049	26.901230	17.791	15.555	5.917
