Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	30.421	1.845405	14.795	17.044	6.028
250000000	39.210	3.121330	17.713	19.917	5.589
300000000	38.973	8.061097	19.565	22.119	6.326
350000000	48.905	16.269090	25.685	27.487	5.522
400000000	53.764	17.712846	27.623	30.025	6.393
450000000	40.203	17.440970	26.958	28.557	5.427
500000000	43.161	20.752429	29.110	30.682	5.898
550000000	45.306	28.384132	32.698	33.609	5.404
600000000	50.250	29.655861	34.306	35.858	6.292
650000000	42.326	30.606135	34.623	36.152	6.687
700000000	41.303	34.575752	35.881	36.418	8.380
750000000	47.680	26.810730	30.245	31.548	7.305
800000000	53.205	26.386854	31.557	32.278	5.942
850000000	58.083	30.063855	34.587	34.861	6.576
900000000	50.676	35.068105	36.378	36.681	6.455
950000000	44.503	34.408192	36.623	36.859	6.384
1000000000	46.258	36.768614	37.990	38.463	6.706
1050000000	45.878	39.305156	40.740	40.645	6.861
1100000000	50.598	37.491804	41.051	42.811	7.214
1150000000	51.866	39.353294	42.289	42.527	8.202
1200000000	46.464	41.056232	42.653	42.916	7.406
1250000000	47.443	40.699333	42.342	41.899	6.884
1300000000	39.600	43.422565	42.079	42.056	6.483
1350000000	48.731	42.865391	45.356	45.785	7.524
1400000000	54.312	44.163995	45.716	46.848	7.428
1450000000	41.695	42.666284	42.313	42.520	7.206
1500000000	43.640	42.778909	43.079	42.093	6.940
1550000000	44.135	45.165826	44.839	45.704	8.713
1600000000	48.115	46.298099	46.882	46.621	7.311
1650000000	46.184	45.507640	45.808	46.177	7.462
1700000000	45.035	46.494590	45.816	45.064	6.355
1750000000	41.377	46.356227	44.166	43.418	6.534
1800000000	40.119	47.941325	45.328	45.099	6.715
1850000000	44.768	47.561712	46.534	46.218	7.387
1900000000	38.857	45.186163	42.210	41.552	5.850
1950000000	36.745	47.036507	41.901	40.341	7.277
2000000000	40.449	45.602516	43.224	43.402	6.059
2050000000	37.535	47.573769	43.653	42.784	6.728
2100000000	39.104	47.451992	43.996	42.345	6.615
2150000000	39.082	48.186393	44.690	44.157	6.441
2200000000	41.600	44.074450	43.149	43.053	9.077
2250000000	37.449	43.417858	41.689	41.541	8.344
2300000000	43.000	46.772925	45.197	44.792	7.386
2350000000	37.743	46.490276	43.345	43.220	7.325
2400000000	33.366	45.772474	40.796	39.518	7.128
2450000000	39.758	46.275000	43.160	42.533	6.013
2500000000	39.817	44.843846	43.422	42.793	7.883
2550000000	44.711	46.683887	45.883	45.464	7.740
2600000000	50.561	46.518630	47.828	47.902	7.978
2650000000	45.059	44.998251	45.031	45.045	6.365
2700000000	41.274	45.993268	44.501	44.821	7.775
2750000000	38.551	46.628535	43.579	42.648	6.777
2800000000	37.257	46.078933	41.997	41.017	6.427
2850000000	37.874	45.396356	41.823	40.697	7.143
2900000000	36.971	45.988623	41.183	39.919	6.328
2950000000	38.391	45.006665	42.189	41.353	8.111
3000000000	32.019	45.686965	43.266	42.302	7.386
3050000000	35.073	45.443112	42.429	42.069	7.254
3100000000	37.488	44.665712	42.256	41.233	6.602
3150000000	38.805	44.245221	43.264	43.190	7.140
3200000000	34.254	44.034155	41.390	40.515	6.818
3250000000	41.523	44.328291	43.363	43.490	7.847
3300000000	38.251	43.779431	43.335	43.301	7.797
3350000000	47.526	45.931061	46.296	46.504	7.566
3400000000	45.086	42.973913	43.187	43.552	7.891
3450000000	33.963	41.312245	40.055	40.491	8.810
3500000000	31.451	43.455096	39.853	39.290	7.363
3550000000	35.447	42.487599	40.489	39.951	7.855
3600000000	45.393	43.125965	43.406	43.199	6.788
3650000000	39.845	44.246914	42.878	42.297	8.223
3700000000	35.258	43.261381	41.398	40.858	8.472
3750000000	37.024	45.348298	43.069	41.909	7.302
3800000000	36.366	44.009763	42.251	40.806	7.930
3850000000	29.783	44.237092	41.805	41.206	7.820
3900000000	34.112	43.894261	40.075	39.939	6.712
3950000000	33.759	44.058876	40.586	40.408	8.426
4000000000	46.748	44.049417	44.921	45.278	6.934
4050000000	33.740	43.795660	40.673	40.071	7.496
4100000000	21.048	44.207295	40.367	40.647	7.379
4150000000	37.748	44.362142	41.688	41.869	8.205
4200000000	29.099	43.073863	39.855	38.799	8.426
4250000000	33.406	42.378045	39.529	38.073	8.051
4300000000	29.127	43.102264	39.427	38.317	8.513
4350000000	29.953	42.789026	38.836	37.481	7.695
4400000000	32.913	43.043632	39.591	38.771	7.336
4450000000	23.098	42.624020	38.937	38.138	7.508
4500000000	24.120	43.613424	40.704	39.134	7.282
