Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	50.456	44.222915	44.919	44.100	7.621
250000000	53.304	48.499915	48.574	46.430	9.455
300000000	64.818	46.041001	46.438	45.204	9.003
350000000	49.078	40.588840	41.583	41.065	9.160
400000000	48.245	45.827415	45.875	45.964	8.975
450000000	36.639	38.197147	38.175	38.951	9.052
500000000	54.664	41.169820	41.410	40.993	9.145
550000000	44.346	43.483733	43.490	43.181	9.202
600000000	32.550	31.449504	31.470	31.450	8.304
650000000	35.629	43.123235	42.965	43.326	8.199
700000000	27.260	45.408946	45.269	45.802	9.520
750000000	39.195	44.346012	44.279	45.328	7.437
800000000	45.103	42.804987	42.830	43.040	7.847
850000000	23.691	33.246172	33.041	32.621	8.223
900000000	42.960	42.056423	42.075	42.248	6.389
950000000	41.651	42.083856	42.079	41.958	8.571
1000000000	41.861	41.163858	41.172	40.839	8.599
1050000000	45.893	44.733562	44.739	45.156	8.033
1100000000	36.907	42.364911	42.278	42.913	7.769
1150000000	53.299	45.165887	45.370	45.447	8.611
1200000000	40.217	44.441945	44.347	44.154	8.106
1250000000	40.946	40.967869	40.967	40.648	8.223
1300000000	41.703	33.151204	33.219	32.870	8.388
1350000000	44.866	41.789526	41.808	40.385	8.654
1400000000	24.395	40.629152	40.569	40.821	8.153
1450000000	26.668	32.315482	32.172	32.473	7.434
1500000000	41.030	39.970539	39.989	39.211	8.205
1550000000	52.727	45.085567	45.164	45.676	7.729
1600000000	45.021	43.453262	43.459	44.033	8.895
1650000000	44.821	42.817031	42.864	42.520	6.750
1700000000	30.637	42.576261	42.472	42.371	7.560
1750000000	35.387	37.849120	37.785	38.368	7.336
1800000000	30.375	35.180442	34.959	34.625	8.500
1850000000	29.937	41.738757	41.617	42.013	8.506
1900000000	40.699	40.473496	40.476	40.690	9.123
1950000000	52.033	42.152977	42.250	42.565	8.806
2000000000	29.317	37.221891	37.117	37.296	6.914
2050000000	35.047	36.309420	36.304	36.734	7.761
2100000000	38.036	40.918490	40.802	40.945	7.125
