Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
15600000000	-4.453	3.504374	-0.312	-1.234	6.957
15650000000	-16.509	2.133066	-7.306	-8.642	4.536
15700000000	-10.108	3.986292	-6.062	-7.791	5.615
15750000000	-20.743	7.216062	-5.057	-7.777	6.963
15800000000	-2.443	10.664094	0.722	-1.179	5.460
15850000000	-5.296	12.115531	0.580	-1.997	5.579
15900000000	-1.039	13.146630	2.825	0.730	5.729
15950000000	0.847	12.725768	4.520	3.556	4.639
16000000000	-2.701	12.596324	3.884	2.117	5.982
16050000000	0.725	10.643511	3.678	1.587	6.138
16100000000	-5.791	9.668948	3.224	1.779	5.803
16150000000	-2.888	7.555478	3.050	1.973	5.458
16200000000	-2.445	3.990764	0.783	0.117	6.582
16250000000	0.112	3.430584	2.158	2.654	7.033
16300000000	6.686	4.554928	4.983	4.421	7.740
16350000000	-2.330	8.464595	4.010	3.484	5.772
16400000000	-2.387	8.944586	3.558	2.090	6.438
16450000000	4.950	10.407695	8.279	6.865	7.959
16500000000	0.090	10.499627	7.136	7.295	6.983
16550000000	5.713	11.577592	9.642	9.751	7.904
16600000000	7.870	13.930009	11.294	10.907	5.999
16650000000	5.432	13.343759	9.738	8.508	6.022
16700000000	6.748	13.839553	10.743	10.203	6.125
16750000000	-1.724	13.163587	8.744	8.047	6.903
16800000000	-5.728	11.285521	4.350	2.582	6.848
16850000000	0.657	10.501273	5.270	3.419	6.990
16900000000	-3.833	9.318580	5.972	5.747	6.530
16950000000	5.099	7.834767	7.114	6.660	6.936
17000000000	-1.664	4.084930	2.370	2.272	6.861
17050000000	-5.332	3.403433	0.231	-0.643	5.594
17100000000	-14.927	3.904613	-4.415	-5.975	5.144
17150000000	-15.340	3.159261	-3.874	-5.311	6.541
17200000000	-3.278	4.608320	0.901	0.137	6.502
17250000000	-12.016	4.838703	1.067	0.273	6.614
17300000000	1.397	4.401318	3.395	3.194	7.459
17350000000	-1.734	1.443755	0.500	0.111	7.357
