Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	35.740	3.629029	23.154	25.472	5.271
250000000	55.504	3.228629	26.567	28.889	5.343
300000000	52.087	7.188240	29.461	31.585	5.391
350000000	49.532	16.903255	34.347	36.749	5.192
400000000	48.108	15.286629	35.141	37.638	5.606
450000000	47.966	14.021981	36.204	38.955	5.992
500000000	47.360	16.905234	38.384	40.702	5.421
550000000	45.201	24.375283	39.003	41.218	5.415
600000000	47.084	25.499154	41.125	42.854	4.487
650000000	45.499	31.977764	41.765	43.745	5.541
700000000	44.158	31.703114	40.626	42.861	5.517
750000000	47.084	22.330765	36.931	38.869	4.684
800000000	45.670	26.189525	38.060	40.985	6.218
850000000	44.764	29.496138	39.333	41.278	5.803
900000000	43.723	32.149903	39.855	41.587	5.471
950000000	44.472	35.225252	41.992	43.594	4.855
1000000000	46.875	35.561438	42.569	44.536	6.831
1050000000	45.337	38.542666	43.316	44.070	4.669
1100000000	44.477	36.474503	42.471	43.914	5.838
1150000000	44.794	39.081108	43.322	44.766	5.893
1200000000	43.729	40.678825	43.069	43.809	4.235
1250000000	44.769	41.480213	44.241	44.569	3.737
1300000000	46.533	41.008133	45.174	46.418	5.281
1350000000	45.392	39.372928	44.221	44.931	4.711
1400000000	48.194	38.330372	45.161	47.402	5.904
1450000000	46.825	39.030201	45.027	46.502	5.046
1500000000	44.964	40.938920	44.108	45.190	5.002
1550000000	43.831	41.535370	43.219	43.258	5.256
1600000000	43.912	42.155203	43.501	43.794	4.782
1650000000	45.633	44.075071	45.309	45.789	3.907
1700000000	45.117	41.504156	44.327	45.144	4.856
1750000000	45.451	41.937702	44.651	45.090	5.257
1800000000	45.767	41.873359	44.863	45.863	5.435
1850000000	43.427	40.811801	42.875	43.081	4.341
1900000000	44.171	42.543709	43.841	44.204	4.455
1950000000	43.896	41.508160	43.327	43.534	5.052
2000000000	42.950	39.279818	42.220	43.209	4.303
2050000000	45.301	41.281462	44.334	45.052	5.060
2100000000	44.934	40.423406	43.928	45.014	5.729
2150000000	44.422	40.933603	43.653	44.230	4.701
2200000000	44.252	39.583831	43.215	43.905	4.914
2250000000	44.055	40.963400	43.321	44.125	5.264
2300000000	43.174	41.484202	42.782	42.924	5.258
2350000000	42.587	39.911330	42.190	42.562	3.935
2400000000	42.026	39.797389	41.669	42.011	3.879
2450000000	41.832	39.283016	41.463	41.862	3.713
2500000000	44.412	39.601573	43.671	44.258	3.426
2550000000	43.367	39.533752	42.546	43.486	5.016
2600000000	43.267	39.340574	42.502	43.072	4.784
2650000000	44.120	39.268430	43.282	44.222	4.995
2700000000	45.103	40.604390	44.272	45.067	4.071
2750000000	43.462	39.768340	42.868	43.517	3.974
2800000000	42.806	39.182793	42.222	42.669	3.805
2850000000	43.556	39.853485	42.940	43.363	4.043
2900000000	43.780	39.979128	42.983	43.673	4.708
2950000000	45.538	39.885800	44.285	44.986	4.007
3000000000	43.748	39.014432	42.711	43.708	5.441
3050000000	44.298	38.234087	43.128	44.063	4.662
3100000000	43.990	38.402867	42.989	44.118	5.002
3150000000	44.384	37.781033	43.143	44.192	4.327
3200000000	41.427	37.766009	40.868	41.349	3.829
3250000000	42.436	38.999031	41.815	42.527	4.917
3300000000	42.898	37.436803	41.748	43.065	5.502
3350000000	43.428	37.138657	42.165	42.990	4.300
3400000000	44.893	38.119330	43.143	44.352	6.016
3450000000	41.735	36.734176	40.815	41.618	4.694
3500000000	43.291	37.652998	42.125	42.954	4.286
3550000000	42.918	37.174815	41.660	42.792	5.256
3600000000	41.758	37.800452	40.986	41.498	4.690
3650000000	41.932	36.627743	40.919	41.802	4.989
3700000000	41.082	36.308388	40.238	41.159	4.651
3750000000	42.970	36.724301	41.834	42.826	4.647
3800000000	43.583	37.662681	42.248	43.546	5.399
3850000000	43.688	38.645715	42.297	43.545	5.569
3900000000	42.580	36.793750	41.354	42.035	4.457
3950000000	40.376	35.516251	39.715	40.371	4.031
4000000000	39.475	35.786014	38.897	39.480	4.207
4050000000	41.139	36.533415	40.099	40.844	4.751
4100000000	39.019	35.561359	38.326	38.602	4.153
4150000000	42.029	36.202165	40.931	41.999	4.689
4200000000	42.008	35.840829	40.734	41.757	4.989
4250000000	44.973	35.413813	41.685	42.815	5.190
4300000000	40.140	35.380285	39.035	39.858	4.375
4350000000	41.455	33.966760	39.887	41.115	5.095
4400000000	39.821	35.845015	39.029	39.560	4.761
4450000000	40.669	35.499019	39.353	40.221	5.008
