Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
10750000000	11.106	21.318790	14.416	12.700	6.216
10800000000	17.899	21.073434	18.622	17.710	4.986
10850000000	17.388	21.350675	18.542	17.667	5.315
10900000000	13.363	21.598486	16.748	15.097	6.646
10950000000	15.847	20.109445	16.973	16.394	5.230
11000000000	9.638	16.251768	11.161	10.240	5.050
11050000000	8.658	14.326561	9.587	8.642	4.327
11100000000	3.935	12.599942	5.300	4.294	4.090
11150000000	1.051	10.231724	4.433	3.160	5.733
11200000000	12.413	13.033129	12.570	12.283	5.157
11250000000	10.993	13.939506	11.723	11.014	5.534
11300000000	14.866	18.285616	15.481	14.858	4.768
11350000000	13.654	20.495749	15.411	13.952	5.457
11400000000	17.902	19.817869	18.384	18.457	4.940
11450000000	20.887	20.940554	20.900	20.727	6.215
11500000000	18.999	21.495723	19.603	19.007	5.043
11550000000	20.369	22.639109	21.025	20.720	5.766
11600000000	21.172	22.161957	21.436	21.382	5.246
11650000000	23.667	22.305727	23.310	22.954	6.238
11700000000	26.599	23.006694	25.689	26.018	4.990
11750000000	20.837	22.834985	21.431	21.301	5.710
11800000000	20.717	20.496579	20.657	20.669	4.854
11850000000	19.508	20.583097	19.813	19.683	5.761
11900000000	23.156	19.547251	22.337	23.025	4.939
11950000000	22.921	20.279408	22.487	22.674	4.379
12000000000	21.866	18.351514	21.054	21.189	5.705
12050000000	21.411	17.414970	20.361	21.343	5.802
12100000000	24.916	17.130354	22.691	24.219	6.433
12150000000	26.470	15.975424	22.777	24.293	6.244
12200000000	25.489	12.643916	21.030	23.177	6.372
12250000000	19.195	10.326476	15.802	17.292	5.790
12300000000	17.043	8.011698	14.428	16.513	6.360
12350000000	10.205	6.501700	9.531	10.067	3.977
12400000000	7.937	2.954645	6.918	7.421	4.703
12450000000	6.858	4.026600	6.408	6.901	3.673
12500000000	8.631	6.344145	8.183	8.474	3.818
12550000000	14.679	6.991137	13.134	14.525	4.886
12600000000	13.168	9.035436	12.560	13.240	4.278
12650000000	16.619	14.975553	16.363	16.582	4.329
12700000000	18.612	15.405188	18.142	18.343	3.972
12750000000	19.706	16.317359	19.072	19.744	4.960
12800000000	23.146	16.108542	21.574	23.203	5.615
12850000000	23.000	17.935784	22.055	23.021	4.999
12900000000	21.542	19.995606	21.255	21.610	4.660
12950000000	22.018	20.779317	21.836	22.122	4.102
13000000000	21.329	20.336229	21.154	21.184	4.827
13050000000	21.418	22.156518	21.495	21.385	3.176
13100000000	21.677	21.705664	21.681	21.721	3.833
13150000000	21.112	22.446123	21.396	20.951	4.972
13200000000	24.818	20.749858	23.979	24.612	5.053
13250000000	19.316	19.106374	19.259	19.429	4.301
13300000000	17.496	14.386495	16.798	17.557	5.513
13350000000	16.711	14.912504	16.240	16.330	4.938
13400000000	20.327	15.055422	18.476	18.938	5.198
13450000000	16.467	18.321483	16.866	16.246	4.165
13500000000	17.023	22.115168	18.347	17.567	5.163
13550000000	18.453	22.176330	19.366	18.667	4.618
13600000000	17.267	23.398700	18.832	18.055	4.533
13650000000	16.848	23.670381	18.796	17.411	6.158
