Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	36.313	31.703709	32.294	31.739	8.857
250000000	40.794	46.383941	46.105	44.507	11.131
300000000	36.034	35.292598	35.353	34.545	8.960
350000000	44.245	36.735651	37.683	40.090	10.634
400000000	34.753	35.614812	35.591	35.399	8.782
450000000	20.179	24.571520	24.483	27.189	10.312
500000000	41.596	34.172233	34.377	34.931	8.766
550000000	47.676	35.825678	35.860	36.058	8.034
600000000	28.266	25.179602	25.227	25.935	7.792
650000000	33.073	38.013801	37.941	37.968	7.304
700000000	18.832	41.046800	40.696	40.807	7.668
750000000	42.323	39.706295	39.720	40.203	6.919
800000000	32.052	38.668606	38.455	38.636	7.010
850000000	21.769	28.076664	27.992	28.225	9.019
900000000	34.445	35.624946	35.595	35.811	7.463
950000000	33.139	33.490734	33.487	33.044	8.518
1000000000	38.070	35.560815	35.585	35.376	8.762
1050000000	49.730	39.947494	39.969	40.054	8.145
1100000000	31.966	35.030073	34.994	35.135	7.178
1150000000	40.908	38.260732	38.370	38.236	7.957
1200000000	34.307	37.644079	37.577	36.297	7.452
1250000000	36.518	34.389939	34.469	34.070	7.430
1300000000	47.212	26.879377	26.957	26.647	7.825
1350000000	39.120	36.211856	36.229	35.030	9.435
1400000000	18.119	33.369499	33.322	33.323	7.956
1450000000	25.435	25.377556	25.378	26.020	7.611
1500000000	41.285	33.315899	33.388	32.986	8.309
1550000000	48.546	38.237883	38.324	38.105	7.418
1600000000	32.443	38.098845	38.047	38.086	7.669
1650000000	34.638	31.431492	31.498	31.250	7.574
1700000000	20.095	30.331550	30.263	31.033	8.783
1750000000	26.900	26.753329	26.756	27.825	7.418
1800000000	27.240	26.342290	26.363	26.336	8.087
1850000000	22.661	34.255690	34.140	33.859	7.099
1900000000	44.978	33.307879	33.359	33.760	8.899
1950000000	39.812	33.241472	33.326	33.131	7.447
2000000000	24.904	30.307346	30.257	30.457	7.368
2050000000	23.469	27.501652	27.478	27.441	8.333
2100000000	26.947	30.211374	30.073	30.763	8.279
2150000000	31.009	30.419597	30.429	29.892	8.865
2200000000	20.434	29.468285	29.186	29.690	7.505
2250000000	32.193	28.029258	28.107	28.370	7.760
2300000000	31.260	32.668288	32.637	33.463	7.968
2350000000	28.730	29.863304	29.854	29.130	7.452
2400000000	50.627	31.561343	31.757	31.838	6.508
2450000000	34.715	30.644476	30.664	30.386	7.897
