Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	27.296	3.764386	22.023	23.782	4.663
250000000	27.239	3.016244	23.776	26.049	5.042
300000000	29.413	7.391179	26.551	28.738	5.375
350000000	28.505	15.344542	27.220	28.592	4.089
400000000	30.070	14.953757	28.900	30.204	3.979
450000000	28.675	11.500937	27.572	28.273	2.790
500000000	30.209	15.735889	29.535	30.262	2.859
550000000	31.131	22.744793	30.503	31.107	2.952
600000000	31.199	21.206436	30.462	31.110	3.071
650000000	30.221	28.064885	30.047	30.314	2.982
700000000	30.863	28.328741	30.610	30.905	3.041
750000000	31.851	21.194628	30.599	31.797	4.157
800000000	31.655	24.883550	30.848	31.390	3.496
850000000	30.273	28.040820	30.056	30.242	3.326
900000000	29.941	28.099542	29.701	30.037	3.088
950000000	30.899	29.373252	30.713	30.953	2.772
1000000000	30.231	29.621025	30.144	30.105	4.028
1050000000	31.341	30.920763	31.272	31.191	3.695
1100000000	31.659	30.181403	31.468	31.722	3.795
1150000000	31.833	29.895623	31.486	31.827	4.037
1200000000	31.575	31.140613	31.502	31.596	3.295
1250000000	31.501	30.319729	31.348	31.393	3.548
1300000000	30.339	30.530908	30.366	30.543	3.411
1350000000	30.569	30.029473	30.510	30.493	3.380
1400000000	30.927	30.562377	30.883	31.038	3.066
1450000000	32.029	30.251483	31.810	31.910	3.360
1500000000	31.670	32.019191	31.718	31.776	3.430
1550000000	30.520	31.143538	30.648	30.195	4.311
1600000000	31.076	30.590399	30.975	31.216	4.776
1650000000	31.948	30.535083	31.658	32.206	3.876
1700000000	31.284	29.709548	31.002	31.072	3.731
1750000000	30.564	29.530284	30.378	30.463	4.910
1800000000	29.287	29.642008	29.342	29.271	3.466
1850000000	28.575	27.512971	28.382	28.395	3.637
1900000000	28.169	26.692233	27.874	28.057	4.401
1950000000	27.601	26.438505	27.353	27.638	5.634
2000000000	26.320	24.976493	26.108	26.481	3.518
2050000000	25.675	24.313748	25.421	25.575	4.323
2100000000	25.431	24.604577	25.303	25.468	3.821
2150000000	25.723	24.931440	25.588	25.741	4.360
2200000000	26.815	24.906189	26.493	26.844	4.561
2250000000	25.903	26.350827	25.979	25.881	4.118
2300000000	26.278	27.599622	26.510	25.990	4.638
2350000000	27.240	25.655047	27.030	27.225	3.392
2400000000	27.479	26.519115	27.344	27.545	3.222
2450000000	27.807	25.981545	27.562	27.897	4.196
2500000000	28.887	26.523133	28.608	28.811	2.990
2550000000	27.334	26.670389	27.230	27.211	3.639
2600000000	27.810	26.021117	27.529	27.481	3.874
2650000000	29.138	27.368576	28.917	29.221	3.484
2700000000	30.571	29.423705	30.421	30.525	3.373
2750000000	30.488	30.138365	30.448	30.683	3.035
2800000000	30.674	28.124020	30.307	30.515	3.900
2850000000	31.367	29.202852	31.061	31.578	4.348
2900000000	30.174	29.239559	30.027	30.074	3.730
2950000000	31.422	29.112990	31.057	31.610	3.967
3000000000	30.283	28.591141	30.009	30.076	3.765
3050000000	31.953	28.352114	31.417	31.861	4.425
3100000000	32.300	29.277474	31.888	32.256	3.474
3150000000	33.901	28.806953	33.086	33.872	4.128
3200000000	32.215	28.597668	31.665	32.263	3.828
3250000000	33.603	30.509646	33.063	33.747	4.562
3300000000	33.982	29.573892	33.147	33.849	4.663
3350000000	34.517	30.940247	33.976	34.687	4.369
3400000000	34.389	29.928198	33.466	34.307	5.985
3450000000	34.670	29.488137	33.699	34.326	4.724
3500000000	36.180	30.896111	35.126	36.525	5.663
3550000000	35.456	31.042658	34.610	35.511	4.760
3600000000	36.473	31.551899	35.417	35.982	4.919
3650000000	38.345	30.902416	36.585	38.103	5.580
3700000000	39.953	31.131182	37.624	39.082	5.204
3750000000	37.493	31.015376	36.286	37.343	4.556
3800000000	38.184	31.381380	36.514	38.228	5.947
3850000000	40.592	32.888957	37.939	39.051	5.510
3900000000	41.611	30.747062	37.976	39.299	4.854
3950000000	43.284	29.859160	39.011	41.075	5.901
4000000000	40.275	30.898630	37.688	39.239	5.778
4050000000	40.435	31.110809	37.246	38.787	5.842
4100000000	38.891	30.183162	36.073	37.987	6.864
4150000000	38.604	30.862758	36.833	38.051	4.973
4200000000	37.801	30.676186	36.182	37.947	6.209
4250000000	37.536	29.832641	35.259	36.682	4.935
4300000000	33.758	30.641481	33.141	33.834	4.710
4350000000	32.366	30.178691	32.105	32.357	3.672
4400000000	31.606	29.775123	31.312	31.854	4.275
4450000000	32.050	29.230537	31.476	31.919	4.633
4500000000	28.184	28.488875	28.236	27.850	5.071
4550000000	28.799	28.425751	28.751	29.009	3.730
4600000000	29.650	27.609553	29.363	29.695	4.143
4650000000	28.982	28.936821	28.977	28.938	3.310
4700000000	27.598	27.870780	27.632	27.590	3.323
4750000000	24.885	27.707071	25.215	24.951	3.313
4800000000	25.830	27.891328	26.052	25.779	2.988
4850000000	26.799	27.679718	26.894	26.773	3.021
4900000000	25.993	29.553154	26.521	25.938	4.193
4950000000	25.331	26.959339	25.522	25.275	3.088
5000000000	25.687	27.787668	25.897	25.683	2.830
5050000000	25.073	28.124318	25.355	25.102	2.870
5100000000	24.379	27.968217	24.904	24.667	3.470
5150000000	24.071	28.280380	24.910	24.119	5.449
5200000000	26.283	26.430582	26.301	26.245	2.832
5250000000	27.175	27.834236	27.240	27.245	3.165
5300000000	26.074	27.280362	26.249	26.156	3.707
5350000000	27.282	27.163257	27.267	27.327	3.391
5400000000	26.047	26.494652	26.102	25.995	3.216
5450000000	26.126	26.567601	26.177	26.009	3.541
5500000000	27.061	26.301161	26.943	26.917	4.630
5550000000	26.851	26.171065	26.728	26.847	4.475
5600000000	28.788	25.853023	28.218	28.756	4.846
5650000000	26.741	24.956964	26.493	26.546	3.518
5700000000	25.629	24.145820	25.410	25.571	3.845
5750000000	23.948	23.499377	23.868	23.852	4.193
5800000000	23.288	23.584388	23.349	23.135	4.387
5850000000	25.265	22.153057	24.783	25.123	4.023
5900000000	24.840	21.581705	24.286	25.126	4.444
5950000000	24.908	20.700418	23.953	25.039	5.011
6000000000	21.720	19.950403	21.367	21.392	4.368
6050000000	22.196	18.547757	21.554	22.065	3.998
6100000000	22.264	17.041458	21.371	22.165	4.127
6150000000	20.106	17.069013	19.433	19.896	4.640
6200000000	19.569	16.130668	18.907	19.616	4.575
6250000000	19.214	14.552208	18.561	19.268	3.701
6300000000	18.791	13.239763	18.113	18.807	3.573
6350000000	13.098	11.512885	12.828	13.267	4.254
6400000000	11.932	9.241436	11.391	11.939	4.620
6450000000	13.027	8.183740	12.186	12.738	4.219
6500000000	12.134	7.771859	11.575	12.247	4.061
6550000000	9.099	3.820940	8.418	9.264	4.063
6600000000	5.292	1.603460	4.595	5.100	4.088
6650000000	5.937	1.371967	5.086	5.782	4.393
6700000000	6.130	0.204159	5.348	6.211	4.463
6750000000	6.312	1.036205	5.300	5.885	3.910
6800000000	7.444	2.690745	6.090	7.236	6.040
6850000000	14.484	6.386682	11.817	13.553	6.277
6900000000	13.303	6.163155	12.192	12.938	4.081
6950000000	13.799	8.475909	13.165	13.861	3.726
7000000000	14.154	7.958381	13.095	14.342	5.692
7050000000	15.877	8.604753	14.152	15.694	5.957
7100000000	17.743	9.707749	16.003	17.105	4.930
7150000000	16.350	11.553799	15.634	16.265	3.464
7200000000	17.284	13.004032	16.808	17.371	3.656
7250000000	16.973	13.727900	16.030	16.579	6.400
7300000000	21.416	13.258887	19.949	21.632	5.532
7350000000	18.717	14.930044	18.226	18.673	3.236
7400000000	18.329	15.528171	17.912	18.174	3.792
7450000000	17.979	18.037917	17.995	18.192	6.498
7500000000	20.981	17.523609	20.380	20.946	4.463
7550000000	21.145	18.361712	20.871	21.237	3.308
7600000000	21.669	21.085442	21.622	21.636	2.917
7650000000	23.441	25.596429	23.705	23.506	3.295
7700000000	23.187	26.518859	23.673	23.027	3.980
7750000000	25.585	25.462366	25.577	25.677	2.537
7800000000	26.396	26.017316	26.365	26.272	2.468
7850000000	27.406	27.227759	27.376	27.388	3.768
7900000000	25.017	28.329995	25.722	25.267	5.235
7950000000	29.783	27.754847	29.517	29.650	3.244
8000000000	33.093	26.540459	31.790	32.475	3.715
8050000000	31.923	25.608990	29.867	31.172	6.509
8100000000	21.633	24.579821	22.865	22.439	6.889
8150000000	25.875	25.108182	25.631	25.878	5.466
8200000000	32.591	26.104880	31.397	32.741	5.648
8250000000	44.693	23.613546	32.358	33.851	6.166
8300000000	28.719	22.831384	26.584	27.545	6.162
8350000000	26.222	24.374280	25.428	25.236	6.744
8400000000	34.275	24.449242	29.043	30.028	7.549
8450000000	33.536	24.664921	30.023	31.422	6.054
8500000000	31.981	22.594127	27.255	28.136	6.616
8550000000	16.383	22.823710	21.500	20.921	8.787
8600000000	35.725	23.072659	28.203	29.614	6.724
8650000000	41.486	22.858602	29.932	31.945	6.981
8700000000	33.475	22.674608	28.340	29.098	6.003
8750000000	20.483	21.695846	21.155	21.726	7.027
8800000000	17.447	23.196926	22.404	23.469	7.721
8850000000	40.839	24.863389	29.442	30.267	7.545
8900000000	26.060	22.093191	24.105	24.759	7.950
8950000000	25.761	22.075948	23.978	24.537	7.063
9000000000	17.755	22.278808	21.018	20.387	7.467
9050000000	25.380	21.774865	22.989	22.985	7.157
9100000000	33.278	22.310861	26.892	28.238	7.253
9150000000	24.327	21.518283	22.756	21.819	7.438
9200000000	21.641	21.549719	21.581	21.780	9.364
9250000000	27.383	21.951333	22.909	23.984	9.400
9300000000	35.243	21.166055	24.477	25.576	7.325
9350000000	32.595	21.059516	25.480	26.261	6.241
9400000000	22.281	19.484219	20.930	21.090	6.968
9450000000	17.710	21.520439	20.871	20.627	8.202
9500000000	26.176	22.070501	22.728	22.281	6.726
9550000000	34.245	19.687449	22.504	22.961	6.739
9600000000	21.830	19.990742	20.794	21.549	8.004
9650000000	21.849	20.272136	20.818	21.795	6.717
9700000000	27.043	19.687814	20.988	20.997	9.373
9750000000	26.756	19.377883	21.248	21.026	9.503
9800000000	21.200	18.142668	19.424	20.813	7.287
