Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	35.013	1.679330	14.705	16.990	5.818
250000000	26.010	3.196182	17.224	19.831	6.409
300000000	34.475	8.759245	20.158	22.010	5.389
350000000	30.397	16.366581	24.637	26.486	6.596
400000000	27.896	16.327645	24.167	25.856	5.178
450000000	23.294	13.067600	20.239	21.721	6.015
500000000	26.099	18.890785	24.056	25.319	5.650
550000000	27.605	25.598766	26.778	27.647	5.872
600000000	24.909	22.914665	24.130	25.356	5.361
650000000	21.521	25.510187	22.556	22.317	4.942
700000000	19.540	27.462568	23.128	21.929	7.147
750000000	22.539	24.114981	23.177	23.413	6.337
800000000	22.468	22.972021	22.614	22.769	5.218
850000000	23.081	24.625116	23.564	23.057	5.023
900000000	20.469	26.692702	24.010	24.212	7.016
950000000	19.793	26.391642	22.274	21.506	6.330
1000000000	16.879	25.349719	21.090	20.934	6.481
1050000000	20.289	26.172329	23.082	22.531	5.930
1100000000	22.122	24.312373	22.895	23.089	5.672
1150000000	23.616	25.078665	24.256	23.632	7.469
1200000000	23.826	25.568229	24.729	24.477	6.429
1250000000	18.731	24.153393	21.159	20.300	6.495
1300000000	16.493	26.294213	21.247	20.048	6.847
1350000000	19.279	23.014648	20.454	19.729	5.893
1400000000	15.469	24.547622	19.288	18.378	5.631
1450000000	15.700	24.431333	19.399	18.628	6.788
1500000000	13.224	23.670376	16.905	14.885	6.624
1550000000	12.317	22.378158	16.738	15.495	6.682
1600000000	13.569	22.396796	17.032	15.716	6.413
1650000000	15.346	22.453253	17.808	16.987	8.053
1700000000	14.843	21.698761	17.502	16.317	6.342
1750000000	12.491	22.463756	16.747	15.340	6.180
1800000000	10.931	23.844716	17.792	16.398	5.582
1850000000	16.031	22.537769	19.468	18.534	6.683
1900000000	17.738	20.824360	19.654	20.128	6.464
1950000000	21.384	22.187885	21.986	21.668	8.517
2000000000	22.926	21.900067	22.203	22.954	6.660
