Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
17350000000.000000	76.431	56.436
17400000000.000000	74.067	57.768
17450000000.000000	63.149	58.692
17500000000.000000	56.024	57.822
17550000000.000000	64.407	57.084
17600000000.000000	68.731	56.272
17650000000.000000	63.854	56.520
17700000000.000000	69.098	57.188
17750000000.000000	71.004	56.462
17800000000.000000	63.528	56.200
17850000000.000000	75.174	55.944
17900000000.000000	58.843	57.135
17950000000.000000	74.844	55.921
18000000000.000000	71.210	56.243
18050000000.000000	63.503	54.187
18100000000.000000	67.176	57.096
18150000000.000000	60.070	56.336
18200000000.000000	64.278	56.064
18250000000.000000	59.041	54.849
18300000000.000000	79.262	55.044
18350000000.000000	70.659	56.493
18400000000.000000	66.377	55.050
18450000000.000000	68.293	55.490
18500000000.000000	63.755	54.373
18550000000.000000	61.813	54.320
18600000000.000000	65.572	56.175
18650000000.000000	76.505	54.494
18700000000.000000	62.202	53.024
18750000000.000000	66.984	55.254
18800000000.000000	64.060	56.905
18850000000.000000	56.122	55.136
18900000000.000000	62.568	54.002
18950000000.000000	76.722	53.751
19000000000.000000	62.856	55.085
19050000000.000000	74.246	53.334
19100000000.000000	73.527	52.281
19150000000.000000	70.298	54.146
19200000000.000000	67.906	55.608
19250000000.000000	59.334	54.920
19300000000.000000	72.183	52.984
19350000000.000000	41.143	54.113
19400000000.000000	70.209	54.029
19450000000.000000	72.455	55.432
19500000000.000000	67.195	54.565
19550000000.000000	67.807	54.233
19600000000.000000	62.971	53.112
19650000000.000000	77.210	54.450
19700000000.000000	61.190	54.501
19750000000.000000	65.461	53.578
19800000000.000000	65.226	53.413
19850000000.000000	70.771	54.278
19900000000.000000	72.025	54.773
19950000000.000000	43.975	54.285
20000000000.000000	63.370	52.969
