Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
10100000000.000000	76.384	56.134
10150000000.000000	80.143	56.415
10200000000.000000	83.626	56.641
10250000000.000000	78.861	57.437
10300000000.000000	74.537	58.131
10350000000.000000	86.814	57.692
10400000000.000000	80.768	57.676
10450000000.000000	77.907	57.521
10500000000.000000	74.323	58.007
10550000000.000000	76.648	58.359
10600000000.000000	84.524	57.464
10650000000.000000	73.317	58.551
10700000000.000000	82.226	57.198
10750000000.000000	82.465	58.732
10800000000.000000	86.545	57.312
10850000000.000000	84.794	56.986
10900000000.000000	76.042	56.795
10950000000.000000	82.701	56.614
11000000000.000000	80.480	55.683
11050000000.000000	78.291	56.483
11100000000.000000	78.075	56.486
11150000000.000000	93.770	56.749
11200000000.000000	87.879	56.046
11250000000.000000	75.036	55.810
11300000000.000000	78.334	56.869
11350000000.000000	80.086	55.799
11400000000.000000	81.348	53.219
11450000000.000000	88.982	54.634
11500000000.000000	86.692	55.775
11550000000.000000	83.088	54.620
11600000000.000000	81.118	53.317
11650000000.000000	75.704	53.191
11700000000.000000	89.065	52.875
11750000000.000000	79.142	53.954
11800000000.000000	80.498	52.445
11850000000.000000	77.382	53.343
11900000000.000000	78.550	52.418
11950000000.000000	81.539	52.263
12000000000.000000	82.812	52.516
12050000000.000000	73.928	53.232
12100000000.000000	83.962	53.104
12150000000.000000	82.584	52.178
12200000000.000000	79.308	52.808
12250000000.000000	77.411	53.176
12300000000.000000	81.846	52.322
12350000000.000000	88.927	52.970
12400000000.000000	100.231	51.065
12450000000.000000	84.484	52.362
12500000000.000000	85.231	53.033
12550000000.000000	84.259	51.708
12600000000.000000	84.540	52.345
12650000000.000000	83.606	52.883
12700000000.000000	75.553	52.367
12750000000.000000	81.238	52.608
12800000000.000000	83.632	52.320
12850000000.000000	84.403	52.796
12900000000.000000	90.107	53.544
12950000000.000000	76.282	53.468
13000000000.000000	83.821	52.071
13050000000.000000	85.207	52.728
13100000000.000000	86.406	53.209
13150000000.000000	74.140	53.396
13200000000.000000	81.345	52.713
13250000000.000000	74.072	54.071
13300000000.000000	77.584	54.418
13350000000.000000	75.323	53.500
13400000000.000000	78.914	53.043
13450000000.000000	77.125	53.516
13500000000.000000	79.343	53.648
13550000000.000000	78.496	54.415
13600000000.000000	79.563	54.264
13650000000.000000	73.948	53.574
13700000000.000000	72.972	54.759
13750000000.000000	79.918	53.165
13800000000.000000	88.827	53.198
13850000000.000000	72.483	54.034
13900000000.000000	79.648	53.888
13950000000.000000	77.456	54.670
14000000000.000000	69.659	54.735
14050000000.000000	68.271	54.354
14100000000.000000	68.585	52.761
14150000000.000000	78.526	52.349
14200000000.000000	72.236	53.897
14250000000.000000	75.365	53.678
14300000000.000000	77.096	52.826
14350000000.000000	85.225	53.872
14400000000.000000	70.239	54.913
14450000000.000000	75.333	55.033
14500000000.000000	76.631	54.029
14550000000.000000	77.762	52.415
14600000000.000000	82.133	52.820
14650000000.000000	75.812	54.239
14700000000.000000	73.277	54.517
14750000000.000000	68.659	53.277
14800000000.000000	80.348	52.377
14850000000.000000	80.850	52.959
14900000000.000000	79.339	53.589
14950000000.000000	81.493	54.201
15000000000.000000	72.992	51.660
15050000000.000000	95.261	50.835
15100000000.000000	79.290	53.581
15150000000.000000	87.792	53.409
15200000000.000000	81.716	54.180
15250000000.000000	78.224	51.001
15300000000.000000	85.950	53.099
15350000000.000000	90.917	54.754
15400000000.000000	81.018	54.017
15450000000.000000	68.040	50.757
15500000000.000000	76.379	51.684
15550000000.000000	70.772	54.164
15600000000.000000	87.587	55.525
15650000000.000000	75.243	51.662
15700000000.000000	71.190	51.884
15750000000.000000	72.396	53.367
15800000000.000000	80.693	54.262
15850000000.000000	73.899	51.173
15900000000.000000	75.625	51.851
15950000000.000000	79.081	53.201
16000000000.000000	78.095	54.516
16050000000.000000	94.522	56.092
16100000000.000000	95.465	54.320
16150000000.000000	71.846	53.277
16200000000.000000	75.858	54.696
16250000000.000000	73.628	55.072
16300000000.000000	73.425	55.560
16350000000.000000	70.817	54.216
16400000000.000000	73.763	52.919
16450000000.000000	78.330	54.739
16500000000.000000	78.692	55.791
16550000000.000000	73.499	55.336
16600000000.000000	78.132	54.507
16650000000.000000	78.582	56.258
16700000000.000000	81.642	55.956
16750000000.000000	68.189	55.499
16800000000.000000	82.861	54.247
16850000000.000000	64.227	55.664
16900000000.000000	64.393	56.370
16950000000.000000	70.716	57.082
17000000000.000000	74.221	57.654
17050000000.000000	65.746	57.078
17100000000.000000	77.405	56.325
17150000000.000000	70.630	57.052
17200000000.000000	68.666	56.337
17250000000.000000	71.989	56.259
17300000000.000000	60.979	56.830
17350000000.000000	77.503	55.213
17400000000.000000	80.211	56.256
17450000000.000000	69.911	55.907
17500000000.000000	66.004	57.184
17550000000.000000	77.377	56.056
17600000000.000000	77.779	54.497
17650000000.000000	57.835	54.970
17700000000.000000	67.616	55.718
17750000000.000000	69.062	55.324
17800000000.000000	69.904	53.865
17850000000.000000	83.559	54.781
17900000000.000000	70.066	54.717
17950000000.000000	70.478	54.759
18000000000.000000	70.593	54.416
18050000000.000000	73.033	55.049
18100000000.000000	57.762	53.804
18150000000.000000	75.754	55.092
18200000000.000000	72.131	54.395
18250000000.000000	68.750	54.311
18300000000.000000	72.421	53.614
18350000000.000000	75.974	54.284
18400000000.000000	79.224	52.882
18450000000.000000	78.245	52.801
18500000000.000000	76.404	53.457
18550000000.000000	83.481	53.028
18600000000.000000	79.573	53.847
18650000000.000000	85.751	51.636
18700000000.000000	74.309	53.339
18750000000.000000	89.329	53.869
18800000000.000000	82.337	54.921
18850000000.000000	76.922	53.253
18900000000.000000	78.548	52.041
18950000000.000000	92.248	53.229
19000000000.000000	80.977	52.503
19050000000.000000	86.087	51.559
19100000000.000000	84.100	50.882
19150000000.000000	88.505	53.599
19200000000.000000	76.680	53.229
19250000000.000000	78.410	53.822
19300000000.000000	86.610	52.034
19350000000.000000	75.332	52.933
19400000000.000000	84.157	52.714
19450000000.000000	81.912	52.975
19500000000.000000	80.953	53.458
19550000000.000000	86.568	53.511
19600000000.000000	80.671	51.456
19650000000.000000	93.349	51.682
19700000000.000000	79.018	51.957
19750000000.000000	84.124	51.749
19800000000.000000	79.437	51.679
19850000000.000000	81.245	51.583
19900000000.000000	84.104	52.851
19950000000.000000	81.806	52.256
20000000000.000000	83.820	51.010
