Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
14250000000	8.351	15.512713	9.549	8.409	4.385
14300000000	10.698	16.855631	12.357	10.683	6.554
14350000000	14.976	14.410132	14.736	14.380	6.800
14400000000	11.894	8.691563	9.803	9.742	7.943
14450000000	11.615	11.673924	11.642	11.563	6.544
14500000000	15.204	17.288903	15.944	15.432	6.043
14550000000	20.078	20.445943	20.164	20.230	4.683
14600000000	10.873	21.371682	14.202	12.525	5.714
14650000000	21.462	23.924974	22.168	21.647	5.256
14700000000	19.929	24.189207	21.147	20.142	6.494
14750000000	22.722	25.209652	23.877	22.720	7.375
14800000000	30.210	25.448718	28.275	28.569	6.737
14850000000	30.722	24.117465	28.541	29.601	5.408
14900000000	27.330	23.123914	25.922	26.089	6.262
14950000000	20.157	22.350765	20.990	21.062	6.256
15000000000	14.244	15.204904	14.597	14.580	6.224
15050000000	14.270	10.595946	13.148	13.706	6.392
15100000000	20.166	12.936058	16.918	18.040	6.689
15150000000	16.897	8.703375	13.133	14.896	7.256
15200000000	13.346	11.320811	12.659	13.097	6.243
15250000000	19.105	15.713073	18.126	18.525	5.703
15300000000	22.359	19.793290	21.654	22.477	6.290
15350000000	20.756	20.393116	20.658	20.557	6.254
15400000000	20.283	22.733038	20.916	20.354	4.701
15450000000	19.254	24.007032	20.704	19.898	5.483
15500000000	18.917	24.085078	20.366	19.657	5.316
15550000000	19.586	24.291150	20.795	20.226	5.112
15600000000	25.347	23.541134	24.747	25.895	6.521
15650000000	17.832	16.708302	17.582	17.651	4.307
15700000000	16.002	17.541523	16.412	15.810	6.182
15750000000	9.289	11.979461	10.293	9.995	5.527
15800000000	10.295	9.801673	10.128	9.536	6.899
15850000000	13.652	8.076516	10.842	12.366	6.604
15900000000	17.233	11.701517	15.207	16.382	6.011
15950000000	13.590	15.996681	14.351	14.127	6.154
16000000000	20.315	17.544936	19.012	18.853	5.965
16050000000	31.645	20.894532	24.121	24.368	7.523
16100000000	28.936	21.618120	23.631	24.003	7.130
16150000000	25.910	18.706791	20.181	19.963	8.156
16200000000	8.269	17.782852	12.545	11.171	5.912
16250000000	7.398	16.846322	12.022	10.921	6.291
16300000000	11.678	15.499183	13.696	13.467	6.729
16350000000	13.463	13.856907	13.699	14.940	8.191
16400000000	12.140	18.515478	13.908	13.085	5.206
16450000000	3.592	19.895772	9.666	7.189	5.867
16500000000	16.427	20.979207	17.419	16.451	5.431
16550000000	11.850	21.697133	14.146	12.974	4.302
16600000000	7.385	20.788344	10.035	7.951	5.547
16650000000	4.105	19.695998	7.942	6.261	5.111
16700000000	2.280	19.028414	7.510	5.619	5.529
16750000000	9.832	20.885105	14.054	12.514	6.026
16800000000	10.598	21.949380	14.322	12.118	6.259
16850000000	-4.311	23.110662	8.819	6.320	5.881
16900000000	2.992	23.736291	10.728	8.507	5.753
16950000000	7.200	25.073123	14.238	12.480	5.238
17000000000	15.167	23.584359	16.954	15.711	4.549
17050000000	1.343	21.847410	8.887	6.633	5.862
17100000000	4.734	22.901933	10.737	8.538	5.376
17150000000	8.400	24.287409	14.986	13.202	5.575
17200000000	3.685	22.599732	13.882	12.008	5.940
17250000000	13.269	24.987900	17.291	15.296	5.500
17300000000	8.433	23.429494	19.116	18.740	6.156
17350000000	12.238	21.175218	16.053	15.211	6.458
17400000000	15.701	25.637697	18.511	16.504	6.002
17450000000	9.521	25.617043	15.947	13.654	6.501
17500000000	2.486	25.104967	14.978	13.451	4.950
17550000000	6.729	20.384466	12.026	10.490	5.532
17600000000	5.368	14.292892	8.694	7.276	5.957
17650000000	-14.914	13.566832	1.814	-1.031	6.384
17700000000	-9.114	17.250365	1.877	-0.756	5.452
17750000000	-1.631	20.494368	6.144	4.157	5.343
17800000000	3.802	19.463987	7.798	5.976	5.095
17850000000	2.876	17.866127	8.603	6.748	5.376
17900000000	-1.401	15.785287	5.689	3.620	5.153
17950000000	-12.286	13.808412	0.876	-0.921	5.009
18000000000	-1.100	13.777585	3.425	1.389	5.460
18050000000	10.985	16.768049	13.096	11.917	6.380
18100000000	-6.901	14.545507	9.835	8.852	6.231
18150000000	18.021	19.338323	18.491	18.069	6.705
18200000000	11.675	18.843395	14.863	13.784	6.160
18250000000	15.561	22.287894	19.636	19.548	8.010
18300000000	14.837	23.317129	20.608	19.953	6.242
18350000000	8.665	24.254959	14.352	12.651	4.881
18400000000	16.575	23.208453	17.596	16.559	4.143
18450000000	17.954	24.159299	19.038	18.067	4.748
18500000000	28.487	27.523002	28.205	28.357	5.786
18550000000	21.401	26.606471	22.666	21.118	5.901
18600000000	21.109	24.861749	21.844	21.104	4.659
18650000000	25.538	21.547751	24.178	24.888	5.514
18700000000	31.742	23.470362	27.193	28.025	6.327
18750000000	36.036	20.589078	26.690	27.708	6.002
18800000000	24.670	17.086327	22.162	23.617	6.013
18850000000	15.863	17.050571	15.995	15.977	3.002
18900000000	15.649	15.291910	15.604	15.291	3.804
18950000000	12.410	19.330005	13.507	12.275	4.901
19000000000	15.063	19.766342	15.575	15.086	3.219
19050000000	17.419	22.851560	18.042	17.422	3.433
19100000000	25.411	23.168498	25.086	25.483	3.919
19150000000	26.715	20.619458	25.227	26.404	5.281
19200000000	14.491	14.817063	14.542	14.319	4.186
19250000000	11.054	11.159532	11.068	11.014	3.713
19300000000	11.965	11.990742	11.969	12.014	3.505
19350000000	17.438	15.100972	17.027	17.573	4.134
19400000000	19.911	17.017769	19.421	19.880	3.604
19450000000	17.462	15.728312	17.210	17.490	3.384
19500000000	17.346	19.223874	17.495	17.480	2.539
19550000000	18.371	19.521634	18.470	18.382	3.030
19600000000	19.374	17.530773	19.139	19.220	3.350
19650000000	20.699	14.970938	19.622	20.661	4.725
19700000000	21.117	13.863081	19.817	20.991	4.716
19750000000	18.662	10.398415	17.351	18.375	3.989
19800000000	12.732	8.664021	12.062	12.538	3.730
19850000000	10.951	10.759361	10.934	10.897	2.849
19900000000	10.100	11.054109	10.167	10.020	2.498
19950000000	21.086	10.103757	18.255	19.651	5.023
20000000000	21.853	11.341550	19.635	21.598	5.836
