Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	38.972	36.219062	36.635	35.551	8.536
250000000	41.162	48.406011	47.957	46.000	10.334
300000000	39.485	42.301118	41.964	42.720	9.820
350000000	58.479	40.692832	41.853	42.616	9.733
400000000	43.905	38.277500	38.358	39.638	10.733
450000000	30.493	36.667640	36.510	37.526	9.202
500000000	39.291	37.839491	37.909	38.241	8.660
550000000	41.247	42.219082	42.210	42.972	9.177
600000000	35.240	40.190149	39.998	40.791	8.616
650000000	33.995	41.202307	41.057	41.806	8.808
700000000	22.046	41.681871	41.486	41.833	7.960
750000000	34.821	42.043007	41.918	42.869	7.911
800000000	37.306	43.164985	42.995	43.825	7.547
850000000	38.452	43.388709	43.334	43.446	7.435
900000000	46.229	44.650067	44.680	45.605	8.908
950000000	45.047	42.475468	42.495	41.930	9.012
1000000000	45.011	40.456765	40.493	40.616	7.642
1050000000	41.312	43.711990	43.695	44.260	7.517
1100000000	48.523	42.007242	42.034	42.186	6.718
1150000000	54.260	42.481311	42.708	42.560	8.349
1200000000	48.720	41.257165	41.305	41.089	8.571
1250000000	62.964	41.926003	42.131	42.139	9.475
1300000000	44.117	40.925222	40.966	40.951	8.170
1350000000	34.990	40.760781	40.662	40.267	10.315
1400000000	21.439	41.715626	41.562	42.036	8.465
1450000000	52.947	42.176106	42.227	43.395	8.697
1500000000	41.357	42.237195	42.218	41.447	8.642
1550000000	51.302	42.772403	42.854	43.272	8.847
1600000000	46.694	42.129021	42.142	42.212	6.713
1650000000	39.514	41.206052	41.146	41.066	7.485
1700000000	34.391	41.321952	41.294	41.681	8.941
1750000000	48.088	40.916375	40.986	41.189	6.507
1800000000	47.312	40.973383	41.061	40.583	7.055
1850000000	31.184	42.017428	41.922	42.529	7.874
1900000000	41.719	40.214646	40.231	40.202	7.966
1950000000	47.204	40.048583	40.136	40.279	8.172
2000000000	40.135	40.761486	40.758	40.819	6.965
2050000000	29.856	40.821771	40.648	41.232	8.139
2100000000	49.108	41.400721	41.506	41.984	8.018
2150000000	38.176	39.524993	39.499	39.800	10.070
2200000000	44.134	41.577192	41.596	42.192	8.364
2250000000	36.932	39.699525	39.590	40.334	8.092
2300000000	47.961	40.638275	40.706	40.741	7.224
2350000000	32.455	39.571259	39.443	39.856	8.634
2400000000	45.649	39.914883	40.059	40.512	7.070
2450000000	37.255	40.927737	40.886	40.986	8.211
2500000000	42.278	40.205585	40.262	41.663	7.947
2550000000	40.492	39.979237	39.993	39.486	7.187
2600000000	50.856	40.477526	40.515	40.075	6.287
2650000000	37.700	39.038109	39.025	39.857	8.581
2700000000	36.394	39.027504	39.004	39.399	7.334
2750000000	41.901	40.098437	40.132	40.437	7.083
2800000000	38.140	39.957002	39.913	40.567	7.704
2850000000	26.129	38.820082	38.696	38.187	7.224
2900000000	30.975	38.245190	38.197	38.244	6.694
